hub_code,spoke_code,aircraft_type,passenger_demand,seats,mtow_tonnes,hub_lat,hub_lon,spoke_lat,spoke_lon,hub_country,hub_mass_fee,hub_pax_fee,spoke_country,spoke_mass_fee,spoke_pax_fee,hub_unit_rate,spoke_unit_rate,distance_km,distance_nm,one_way_fuel_kg,block_hours_per_leg,passengers_boarded,uncaptured_demand,blended_unit_rate,roundtrip_fuel_cost,roundtrip_hourly_cost,roundtrip_enroute_cost,roundtrip_mass_fees,roundtrip_pax_fees,total_roundtrip_doc,roundtrip_revenue,uncaptured_revenue,net_roundtrip_profit,cask_eur_per_ask,breakeven_lf,actual_lf
FRA,BUD,A319,100,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,100,0,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,4310,20270.934264474523,16716.716634164502,0,-3554.2176303100205,0.08787062149706658,87.9,72.5
FRA,BUD,A319,120,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,120,0,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,5172,21132.934264474523,20060.0599609974,0,-1072.8743034771214,0.09160722656628709,91.6,87
FRA,BUD,A319,140,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,138,2,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,5947.8,21908.734264474522,23069.068955147013,334.3343326832901,1160.334690672491,0.09497017112858555,95,100
FRA,BUD,A319,160,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,138,22,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,5947.8,21908.734264474522,23069.068955147013,3677.677659516191,1160.334690672491,0.09497017112858555,95,100
FRA,BUD,A319,180,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,138,42,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,5947.8,21908.734264474522,23069.068955147013,7021.020986349091,1160.334690672491,0.09497017112858555,95,100
FRA,BUD,A319,200,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,138,62,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,5947.8,21908.734264474522,23069.068955147013,10364.364313181992,1160.334690672491,0.09497017112858555,95,100
FRA,BUD,A319,220,138,68,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,4115.797678050867,1.345042656795506,138,82,70.26,9137.070845272925,4842.153564463822,1369.7098547377745,612,5947.8,21908.734264474522,23069.068955147013,13707.707640014893,1160.334690672491,0.09497017112858555,95,100
FRA,BUD,A320neo,100,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,100,0,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,4310,18791.0608947749,16716.716634164502,0,-2074.3442606103963,0.0624493344197714,62.4,55.6
FRA,BUD,A320neo,120,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,120,0,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,5172,19653.0608947749,20060.0599609974,0,406.99906622250273,0.06531406497284047,65.3,66.7
FRA,BUD,A320neo,140,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,140,0,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,6034,20515.0608947749,23403.403287830304,0,2888.3423930554054,0.06817879552590952,68.2,77.8
FRA,BUD,A320neo,160,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,160,0,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,6896,21377.0608947749,26746.746614663207,0,5369.685719888308,0.07104352607897858,71,88.9
FRA,BUD,A320neo,180,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,180,0,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,7758,22239.0608947749,30090.089941496106,0,7851.029046721207,0.07390825663204766,73.9,100
FRA,BUD,A320neo,200,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,180,20,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,7758,22239.0608947749,30090.089941496106,3343.343326832901,7851.029046721207,0.07390825663204766,73.9,100
FRA,BUD,A320neo,220,180,73.5,50.033333,8.570556,47.42976,19.261093,DE,2.5,28.1,HU,2,15,97.79,42.73,835.8358317082251,451.3152439029293,3400.3971804903385,1.345042656795506,180,40,70.26,7548.881740688552,4842.153564463822,1424.025589622522,666,7758,22239.0608947749,30090.089941496106,6686.686653665802,7851.029046721207,0.07390825663204766,73.9,100
